time,open,high,low,close,Equity,Exposure
2020-05-17T08:00:00+08:00,9380.81,9555.1,9322.1,9512.99,9267.128021,1.2
2020-05-17T11:00:00+08:00,9512.53,9579.16,9475,9495,9246.108145,1.2
2020-05-17T14:00:00+08:00,9495,9567.85,9480.04,9491,9241.434465,1.2
2020-05-17T17:00:00+08:00,9491.01,9538.36,9436,9522.08,9277.748959,1.2
2020-05-17T20:00:00+08:00,9522.5,9822,9521.45,9809.91,9614.055287,1.2
2020-05-17T23:00:00+08:00,9811.18,9888,9685,9759.99,9555.727761,1.2
2020-05-18T02:00:00+08:00,9760,9791.95,9705,9740.14,9532.534624,1.2
2020-05-18T05:00:00+08:00,9741.62,9798.49,9595.2,9680.04,9462.312582,1.2
2020-05-18T08:00:00+08:00,9681.11,9950,9680.13,9870.05,9684.324066,1.2
2020-05-18T11:00:00+08:00,9870.05,9910,9816.27,9861.07,9673.831655,1.2
2020-05-18T14:00:00+08:00,9861.32,9884.54,9464.23,9591.54,9358.907412,1.2
2020-05-18T17:00:00+08:00,9591.57,9714.95,9541.34,9634.89,9409.558419,1.2
2020-05-18T20:00:00+08:00,9634.89,9735,9565.1,9708.56,9495.63592,1.2
2020-05-18T23:00:00+08:00,9708.5,9723,9550.01,9625.07,9398.084535,1.2
2020-05-19T02:00:00+08:00,9625.07,9720,9613,9685.78,9469.019313,1.2
2020-05-19T05:00:00+08:00,9685.79,9755,9666.67,9733.93,9525.278736,1.2
2020-05-19T08:00:00+08:00,9733.93,9742.95,9535,9612.43,9383.315706,1.2
2020-05-19T11:00:00+08:00,9612.43,9634,9474,9603.09,9372.402663,1.2
2020-05-19T14:00:00+08:00,9603.09,9829,9550,9803.94,9607.07982,1.2
2020-05-19T17:00:00+08:00,9804.07,9897.21,9696,9751.98,9546.368717,1.2
2020-05-19T20:00:00+08:00,9752.24,9762,9561,9696.78,9481.871933,1.2
2020-05-19T23:00:00+08:00,9696.88,9736.83,9622.33,9658.97,9437.693973,1.2
2020-05-20T02:00:00+08:00,9659.5,9718.43,9620.49,9692.04,9476.333622,1.2
2020-05-20T05:00:00+08:00,9692.04,9794,9656.81,9775.53,9573.885008,1.2
2020-05-20T08:00:00+08:00,9775.13,9800,9707,9736.04,9527.744102,1.2
2020-05-20T11:00:00+08:00,9736.04,9774.99,9696.56,9754.36,9549.149556,1.2
