time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-08T08:00:00+08:00,9986.3,10035.96,9845.8,9899.52,10311.68376,1,10311.68376,1,10719.09927,0.9,10719.09927,0.9,10732.27586,1,10732.27586,1
2020-05-08T11:00:00+08:00,9898.49,9947.6,9805,9866.14,10276.89045,1,10276.89045,1,10686.34948,0.9,10686.34948,0.9,10696.08893,1,10696.08893,1
2020-05-08T14:00:00+08:00,9864.66,9900,9705,9859.9,10270.38625,1,10270.38625,1,10680.22729,0.9,10680.22729,0.9,10689.32421,1,10689.32421,1
2020-05-08T17:00:00+08:00,9859.77,9964.99,9813.28,9899.75,10311.9235,1,10311.9235,1,10719.32493,0.9,10719.32493,0.9,10732.5252,1,10732.5252,1
2020-05-08T20:00:00+08:00,9899.35,9986.45,9780,9954.99,10369.50236,1,10369.50236,1,10773.522,0.9,10773.522,0.9,10792.41033,1,10792.41033,1
2020-05-08T23:00:00+08:00,9954.95,10006.98,9912,9962.92,10377.76811,1,10377.76811,1,10781.30228,0.9,10781.30228,0.9,10801.00716,1,10801.00716,1
2020-05-09T02:00:00+08:00,9963.62,9985.58,9860.52,9980,10395.57128,1,10395.57128,1,10798.05981,0.9,10798.05981,0.9,10819.52342,1,10819.52342,1
2020-05-09T05:00:00+08:00,9979.79,10000.52,9780,9800.01,10207.96051,1,10207.96051,1,10621.46802,0.9,10621.46802,0.9,10624.39806,1,10624.39806,1
2020-05-09T08:00:00+08:00,9800.02,9914.25,9728.46,9849.33,10259.36871,1,10259.36871,1,10669.85686,0.9,10669.85686,0.9,10677.86538,1,10677.86538,1
2020-05-09T11:00:00+08:00,9849.33,9890,9752,9830.02,10239.24113,1,10239.24113,1,10650.91143,0.9,10650.91143,0.9,10656.9316,1,10656.9316,1
2020-05-09T14:00:00+08:00,9830.07,9835.77,9561,9677.25,10080.00285,1,10080.00285,1,10501.02573,0.9,10501.02573,0.9,10491.31517,1,10491.31517,1
2020-05-09T17:00:00+08:00,9677.76,9718.97,9520,9638.85,10039.97699,1,10039.97699,1,10463.35072,0.9,10463.35072,0.9,10449.68612,1,10449.68612,1
2020-05-09T20:00:00+08:00,9638.85,9719.22,9600.6,9698.04,10101.6731,1,10101.6731,1,10521.42321,0.9,10521.42321,0.9,10513.85341,1,10513.85341,1
2020-05-09T23:00:00+08:00,9699.23,9795,9627.03,9774.95,10181.83946,1,10181.83946,1,10596.88115,0.9,10596.88115,0.9,10597.23077,1,10597.23077,1
